months,member_months_Health Plan,med_gross_Health Plan,med_gross_mh_Health Plan,med_gross_nonmh_Health Plan,member_months_Spring,med_gross_Spring,med_gross_mh_Spring,med_gross_nonmh_Spring
-11,526,466684.41,88562.64,378121.77,279,185908.26,3176.65,182731.61
-10,536,396744.17,29969.69,366774.48,282,171761.13,7148.57,164612.56
-9,540,374112.2,20886.17,353226.03,285,194450.55,3282.29,191168.26
-8,548,373765.31,39324.12,334441.19,287,377638.44,8000.57,369637.87
-7,555,416513.93,30310.71,386203.22,291,240058.24,5399.92,234658.32
-6,561,345642.55,15391.72,330250.83,295,261850.3,19454.12,242396.18
-5,571,345783.2,24726.74,321056.46,301,314401.76,14517.12,299884.64
-4,568,451020.58,4750.79,446269.79,300,255082.09,5238.82,249843.27
-3,567,576801.49,6569.96,570276.53,299,373012.64,55829.05,317183.59
-2,568,375195.33,6026.36,369168.97,300,335835.28,10279.81,325555.47
-1,572,413547.55,5175.31,408372.24,301,316430.17,2567.85,313862.32
0,572,511618.49,4137.77,507480.72,301,275974.86,11673.89,264300.97
1,573,1309885.88,453803.22,856082.66,301,453106.92,16080.66,451616.99
2,565,659876.56,58461.58,601414.98,296,272961.91,5679.75,267282.16
3,534,635397.9,44055.91,594319.1,274,258336.64,7101.57,251235.07
4,493,354752.96,53987.4,300765.56,253,201219.3,9802.6,191416.7
5,415,264875.41,50526.48,214348.93,218,206027.73,2009.73,204018
6,360,361828.63,45383.6,316445.03,189,135349.28,2866.82,132482.46
7,315,362823.29,35389.89,327433.4,152,100184.92,20228.07,79956.85
8,255,256397.16,26523,229874.16,121,68257.73,956.31,67301.42
9,216,250617.36,25106.09,225511.27,97,51772.32,50.46,51721.86
10,177,294490.47,17909.12,276581.35,83,64531.78,6115.62,58416.16
11,133,164735.11,26290.79,138444.32,64,85357.37,570.86,84786.51
12,94,132861.75,29687.17,103174.58,41,14395.11,444.6,13950.51